Mesh,Pressure,Area_start,Area_end,Width_start,Width_end,Length_start,Length_end
1_2,0.01,40.54,47.49,4.90748,4.90748,14.314,14.314
1_2,0.02,40.54,49.71,4.90748,4.90748,14.314,14.314
1_2,0.03,40.54,51.26,4.90748,4.90748,14.314,14.314
1_2,0.04,40.54,52.62,4.90748,4.90748,14.314,14.314
1_2,0.05,40.54,53.77,4.90748,4.90748,14.314,14.314
1_2,0.06,40.54,54.73,4.90748,4.90748,14.314,14.314
1_2,0.07,40.54,55.68,4.90748,4.90748,14.314,14.314
1_2,0.08,40.54,56.47,4.90748,4.90748,14.314,14.314
1_2,0.09,40.54,57.37,4.90748,4.90748,14.314,14.314
1_2,0.1,40.54,58.05,4.90748,4.90748,14.314,14.314
1_2,0.11,40.54,58.82,4.90748,4.90748,14.314,14.314
1_2,0.12,40.54,59.34,4.90748,4.90748,14.314,14.314
1_2,0.13,40.54,60.01,4.90748,4.90748,14.314,14.314
1_2,0.14,40.54,60.56,4.90748,4.90748,14.314,14.314
1_2,0.15,40.54,61.17,4.90748,4.90748,14.314,14.314
1_2,0.16,40.54,61.73,4.90748,4.90748,14.314,14.314
1_2,0.17,40.54,62.23,4.90748,4.90748,14.314,14.314
1_2,0.18,40.54,62.71,4.90748,4.90748,14.314,14.314
1_2,0.19,40.54,63.18,4.90748,4.90748,14.314,14.314
1_2,0.2,40.54,63.74,4.90748,4.90748,14.314,14.314
1_2,0.21,40.54,64.12,4.90748,4.90748,14.314,14.314
1_2,0.22,40.54,64.72,4.90748,4.90748,14.314,14.314
1_2,0.23,40.54,65.23,4.90748,4.90748,14.314,14.314
1_2,0.24,40.54,65.63,4.90748,4.90748,14.314,14.314
1_2,0.25,40.54,66.06,4.90748,4.90748,14.314,14.314
1_2,0.26,40.54,66.55,4.90748,4.90748,14.314,14.314
1_2,0.27,40.54,66.96,4.90748,4.90748,14.314,14.314
1_2,0.28,40.54,67.41,4.90748,4.90748,14.314,14.314
1_2,0.29,40.54,67.72,4.90748,4.90748,14.314,14.314
1_2,0.3,40.54,68.22,4.90748,4.90748,14.314,14.314
1_2,0.31,40.54,68.58,4.90748,4.90748,14.314,14.314
1_2,0.32,40.54,68.92,4.90748,4.90748,14.314,14.314
1_2,0.33,40.54,69.31,4.90748,4.90748,14.314,14.314
1_2,0.34,40.54,69.66,4.90748,4.90748,14.314,14.314
1_2,0.35,40.54,70.05,4.90748,4.90748,14.314,14.314
1_2,0.36,40.54,70.32,4.90748,4.90748,14.314,14.314
1_2,0.37,40.54,70.68,4.90748,4.90748,14.314,14.314
1_2,0.38,40.54,71.03,4.90748,4.90748,14.314,14.314
1_2,0.39,40.54,71.36,4.90748,4.90748,14.314,14.314
1_2,0.4,40.54,71.69,4.90748,4.90748,14.314,14.314
1_2,0.41,40.54,71.98,4.90748,4.90748,14.314,14.314
1_2,0.42,40.54,72.34,4.90748,4.90748,14.314,14.314
1_2,0.43,40.54,72.65,4.90748,4.90748,14.314,14.314
1_2,0.44,40.54,72.94,4.90748,4.90748,14.314,14.314
1_2,0.45,40.54,73.27,4.90748,4.90748,14.314,14.314
1_2,0.46,40.54,73.59,4.90748,4.90748,14.314,14.314
