Mesh ID,Cross-section type,Pressure (MPa),Aspect Ratio,Pore Area (um^2)
1_2,circular,0.0,[np.float64(1.0001311254533751)],4768.684451124198
1_2,circular,0.1,[np.float64(0.97982812590815)],4803.239141954903
1_2,circular,0.3,[np.float64(1.3278853207508574)],4873.142708330972
1_2,circular,2.0,[np.float64(1.3042434917725747)],5515.353178512467
1_2,circular,0.2,[np.float64(0.9727886942826911)],4838.057185037947
1_2,circular,0.6,[np.float64(0.9607178784021405)],4980.091413646701
1_2,circular,0.7,[np.float64(0.9593839621732513)],5016.317980198213
1_2,circular,0.5,[np.float64(1.1626944999556377)],4944.155714388357
1_2,circular,0.4,[np.float64(0.9648595393065454)],4908.508097836409
1_2,circular,1.3,[np.float64(0.9560582299949253)],5240.017057037224
1_2,circular,1.2,[np.float64(1.1735032156137308)],5201.963083306985
1_2,circular,1.0,[np.float64(1.3112683285573414)],5126.789137536897
1_2,circular,1.1,[np.float64(1.1542357355222814)],5164.221201786576
1_2,circular,1.5,[np.float64(0.9558393529720808)],5317.073695747946
1_2,circular,1.4,[np.float64(0.9559128143602429)],5278.386511150929
1_2,circular,1.6,[np.float64(0.9557782357515442)],5356.07707027668
1_2,circular,1.7,[np.float64(0.9557525557036697)],5395.406291840554
1_2,circular,1.9,[np.float64(0.955782947700878)],5475.039423588692
1_2,circular,1.8,[np.float64(1.294668616413753)],5435.055581174643
1_2,circular,0.9,[np.float64(0.957566019749206)],5089.661930204029
1_2,circular,0.8,[np.float64(1.285760030097137)],5052.839628988846
1_2,oval,0.8,[np.float64(1.0952179195194849)],4031.0412578097025
1_2,oval,0.9,[np.float64(1.0892060886165136)],4055.9732031040485
1_2,oval,1.8,[np.float64(1.0390661269374437)],4290.815057972903
1_2,oval,1.9,[np.float64(1.0360023315085634)],4317.93367282493
1_2,oval,1.7,[np.float64(1.0424405010034585)],4263.8976623945055
1_2,oval,1.6,[np.float64(1.046153852592458)],4237.167993847136
1_2,oval,1.4,[np.float64(1.0549538452885263)],4184.359447613448
1_2,oval,1.5,[np.float64(1.0503158437878677)],4210.665748175635
1_2,oval,1.1,[np.float64(1.0727702334278477)],4106.683057925744
1_2,oval,1.0,[np.float64(1.080420856542191)],4081.215162659213
1_2,oval,1.2,[np.float64(1.0660655608954253)],4132.3647949641345
1_2,oval,1.3,[np.float64(1.0601697009800517)],4158.257838609374
1_2,oval,0.4,[np.float64(1.1429968678263798)],3933.62872151554
1_2,oval,0.5,[np.float64(1.1280092295659787)],3957.6279590452905
1_2,oval,0.7,[np.float64(1.1031500946583412)],4006.3399731978707
1_2,oval,0.6,[np.float64(1.1122664839579692)],3981.8551107805874
1_2,oval,0.2,[np.float64(1.1805473445187853)],3886.3784368176025
1_2,oval,2.0,[np.float64(1.0332055722693883)],4345.2506988212035
1_2,oval,0.3,[np.float64(1.1514415075326492)],3909.883129656954
1_2,oval,0.1,[np.float64(1.2161783826950912)],3863.1087675599056
1_2,oval,0.0,[np.float64(1.524958820788806)],3840.134366453642
1_3,circular,1.2,[np.float64(1.937011209700985)],4903.72327924206
