Mesh ID,Cross-section type,Pressure (MPa),Aspect Ratio,Pore Area (um^2)
idealised_final_2_7,oval,0.1,[np.float64(1.3021615885500046)],53.7351
idealised_final_2_1,oval,0.0,[np.float64(1.3954198081756166)],73.4116
idealised_final_2_1,circular,1.2,[np.float64(0.9510354874989991)],72.0887
idealised_final_2_3,oval,1.3,[np.float64(1.0906735592148054)],82.13130000000001
idealised_final_2_7,circular,1.1,[np.float64(1.0487071154913832)],51.7345
idealised_final_1_6,oval,0.4,[np.float64(1.2618063818437586)],62.85770000000001
idealised_final_3_2,oval,0.6,[np.float64(1.1028112630384548)],24.8335
idealised_final_1_8,circular,0.7,[np.float64(0.9591998917669885)],65.7216
idealised_final_1_3,circular,0.7,[np.float64(0.9551146967821763)],44.78020000000001
idealised_final_2_6a,circular,0.9,[np.float64(0.9409105781513188)],20.7013
idealised_final_1_5,oval,0.3,[np.float64(1.2660299219545321)],53.572700000000005
idealised_final_3_2,oval,0.1,[np.float64(1.2105174050122827)],23.0924
idealised_final_1_8,oval,0.0,[np.float64(1.173360326158104)],65.9449
idealised_final_1_3,oval,1.1,[np.float64(1.12336726299703)],50.5771
idealised_final_2_7,circular,1.7,[np.float64(1.0628229110207525)],51.377900000000004
idealised_final_1_3,oval,1.8,[np.float64(1.0731340235096192)],51.6113
idealised_final_3_6,oval,0.6,[np.float64(1.409440439118933)],53.9083
idealised_final_3_7,circular,1.7,[np.float64(1.073636749879023)],24.2154
idealised_final_1_5,oval,1.1,[np.float64(1.118657349258464)],56.8336
idealised_final_3_6,oval,1.5,[np.float64(1.2272992957408981)],59.0625
idealised_final_3_7,circular,1.1,[np.float64(1.0555084276060764)],24.6866
idealised_final_2_6a,circular,0.6,[np.float64(0.9554612398096463)],20.9685
idealised_final_3_6,circular,1.4,[np.float64(1.0604399168371117)],40.1438
idealised_final_3_6,circular,0.7,[np.float64(1.0332322985277298)],40.7181
idealised_final_1_6,oval,0.7,[np.float64(1.1937457239773666)],64.741
idealised_final_2_7,oval,0.6,[np.float64(1.170226854516289)],57.865500000000004
idealised_final_2_7,circular,0.9,[np.float64(1.0418600581258735)],51.8205
idealised_final_3_4,oval,0.0,[np.float64(1.109200284952904)],23.1723
idealised_final_1_4,oval,1.3,[np.float64(1.0568373554156236)],47.796400000000006
idealised_final_2_6a,oval,1.8,[np.float64(1.1071031971536671)],24.8453
idealised_final_2_6a,oval,1.1,[np.float64(1.1693500945395199)],24.2188
idealised_final_3_7,circular,1.8,[np.float64(1.0758752870981823)],24.171100000000003
idealised_final_2_6a,circular,0.3,[np.float64(0.9761130031513161)],21.166300000000003
idealised_final_3_6,oval,0.7,[np.float64(1.369085201750952)],54.7271
idealised_final_2_7,circular,0.5,[np.float64(0.9775611098463399)],51.8067
idealised_final_1_8,circular,0.5,[np.float64(0.9677274456646201)],65.94980000000001
idealised_final_2_6a,circular,1.3,[np.float64(0.9272988694824562)],20.3129
idealised_final_2_7,oval,1.9,[np.float64(1.0603714927480212)],60.3653
idealised_final_1_3,circular,1.1,[np.float64(0.9412925414959222)],44.19400000000001
idealised_final_2_7,oval,1.6,[np.float64(1.0750298364288804)],59.995200000000004
idealised_final_1_3,oval,1.4,[np.float64(1.097794433787539)],51.1003
idealised_final_3_2,circular,0.3,[np.float64(0.9848141150210791)],22.9818
idealised_final_1_3,oval,0.2,[np.float64(1.3077647098546994)],47.216300000000004
idealised_final_3_4,circular,1.3,[np.float64(1.0650972703196084)],25.1112
idealised_final_1_8,oval,1.6,[np.float64(1.0082710534699577)],69.1707
idealised_final_2_6a,oval,1.4,[np.float64(1.1376613544512792)],24.5271
idealised_final_3_2,circular,0.8,[np.float64(1.0506308519823755)],23.023600000000002
idealised_final_1_6,oval,2.0,[np.float64(1.0738838018571824)],68.1144
idealised_final_1_4,oval,0.2,[np.float64(1.1949275883285106)],45.3411
idealised_final_3_4,circular,0.0,[np.float64(1.0225377737563603)],23.1723
idealised_final_3_6,oval,1.4,[np.float64(1.2395873804540822)],58.6874
idealised_final_2_1,circular,0.3,[np.float64(0.979862497901352)],73.2833
