Mesh ID,Cross-section type,Pressure,Cross section,Aspect Ratio
2_6a,circular,0.8,"[[-1.89380e+00  3.70945e-06]
 [-1.89773e+00  2.84598e-01]
 [-1.90951e+00  5.68931e-01]
 ...
 [-1.92914e+00 -8.52739e-01]
 [-1.90951e+00 -5.68928e-01]
 [-1.89773e+00 -2.84594e-01]]",0.9546852227829119
1_2,circular,0.0,"[[-2.81262   0.      ]
 [-2.81671   0.260701]
 [-2.82898   0.521144]
 ...
 [-2.84941  -0.781073]
 [-2.82898  -0.521144]
 [-2.81671  -0.260701]]",1.0005192940011303
3_4,circular,1.6,"[[-1.33900e+00 -6.69476e-04]
 [-1.34326e+00  2.99124e-01]
 [-1.35602e+00  5.98635e-01]
 ...
 [-1.37732e+00 -8.98920e-01]
 [-1.35604e+00 -5.99973e-01]
 [-1.34327e+00 -3.00461e-01]]",0.9532713578533231
2_1,oval,1.7,"[[-4.81271e+00  1.47737e-04]
 [-4.81541e+00  1.73265e-01]
 [-4.82350e+00  3.46367e-01]
 ...
 [-4.83702e+00 -5.19137e-01]
 [-4.82351e+00 -3.46069e-01]
 [-4.81542e+00 -1.72967e-01]]",1.0418561579757457
1_8,circular,1.1,"[[-3.56219e+00 -2.04021e-07]
 [-3.56594e+00  2.60517e-01]
 [-3.57719e+00  5.20796e-01]
 ...
 [-3.59593e+00 -7.80599e-01]
 [-3.57719e+00 -5.20795e-01]
 [-3.56594e+00 -2.60516e-01]]",0.9582264831135069
2_3,circular,1.6,"[[-4.03913e+00  1.93678e-06]
 [-4.04285e+00  2.59694e-01]
 [-4.05402e+00  5.19141e-01]
 ...
 [-4.07263e+00 -7.78099e-01]
 [-4.05402e+00 -5.19139e-01]
 [-4.04285e+00 -2.59692e-01]]",0.9554118487798592
2_7,oval,1.0,"[[-3.07540e+00  1.76094e-05]
 [-3.07807e+00  1.81834e-01]
 [-3.08608e+00  3.63627e-01]
 ...
 [-3.09944e+00 -5.45331e-01]
 [-3.08607e+00 -3.63586e-01]
 [-3.07806e+00 -1.81792e-01]]",1.0272896182151041
3_6,oval,1.3,"[[-2.55049e+00 -4.62811e-04]
 [-2.55374e+00  2.34927e-01]
 [-2.56354e+00  4.70261e-01]
 ...
 [-2.57988e+00 -7.06417e-01]
 [-2.56353e+00 -4.71196e-01]
 [-2.55373e+00 -2.35862e-01]]",0.9982690997034631
2_6a,oval,1.9,"[[-2.38095e+00  1.37192e-04]
 [-2.38387e+00  1.92316e-01]
 [-2.39265e+00  3.84583e-01]
 ...
 [-2.40729e+00 -5.76763e-01]
 [-2.39264e+00 -3.84320e-01]
 [-2.38386e+00 -1.92052e-01]]",1.0553225215122173
1_6,oval,0.5,"[[-3.33436e+00 -3.08625e-05]
 [-3.33717e+00  1.78291e-01]
 [-3.34562e+00  3.56627e-01]
 ...
 [-3.35970e+00 -5.35056e-01]
 [-3.34561e+00 -3.56693e-01]
 [-3.33716e+00 -1.78357e-01]]",1.0748592545049354
2_3,oval,1.8,"[[-4.58261e+00  5.80088e-05]
 [-4.58543e+00  1.85871e-01]
 [-4.59389e+00  3.71677e-01]
 ...
 [-4.60798e+00 -5.57345e-01]
 [-4.59388e+00 -3.71556e-01]
 [-4.58542e+00 -1.85750e-01]]",1.0335584934500548
1_6,circular,0.4,"[[-2.76173e+00 -4.48865e-06]
 [-2.76547e+00  2.57367e-01]
 [-2.77670e+00  5.14513e-01]
 ...
 [-2.79540e+00 -7.71211e-01]
 [-2.77670e+00 -5.14516e-01]
 [-2.76547e+00 -2.57370e-01]]",0.9653275679292731
1_3,circular,1.2,"[[-2.87067e+00  3.22891e-06]
 [-2.87467e+00  2.83303e-01]
 [-2.88667e+00  5.66341e-01]
 ...
 [-2.90666e+00 -8.48854e-01]
 [-2.88667e+00 -5.66338e-01]
 [-2.87467e+00 -2.83299e-01]]",0.9524554748018812
