Mesh ID,Cross-section type,Pressure (MPa),Aspect Ratio,Pore Area (um^2)
1_2,circular,0.0,[np.float64(1.0001311254533751)],40.877900000000004
1_2,circular,0.1,[np.float64(0.97982812590815)],42.322300000000006
1_2,circular,0.3,[np.float64(1.3278853207508574)],41.617799999999995
1_2,circular,2.0,[np.float64(1.3042434917725747)],32.0029
1_2,circular,0.2,[np.float64(0.9727886942826911)],42.095600000000005
1_2,circular,0.6,[np.float64(0.9607178784021405)],39.8016
1_2,circular,0.7,[np.float64(0.9593839621732513)],39.1808
1_2,circular,0.5,[np.float64(1.1626944999556377)],40.4317
1_2,circular,0.4,[np.float64(0.9648595393065454)],41.0449
1_2,circular,1.3,[np.float64(0.9560582299949253)],35.5326
1_2,circular,1.2,[np.float64(1.1735032156137308)],36.106500000000004
1_2,circular,1.0,[np.float64(1.3112683285573414)],37.2836
1_2,circular,1.1,[np.float64(1.1542357355222814)],36.699400000000004
1_2,circular,1.5,[np.float64(0.9558393529720808)],34.4462
1_2,circular,1.4,[np.float64(0.9559128143602429)],34.976
1_2,circular,1.6,[np.float64(0.9557782357515442)],33.9158
1_2,circular,1.7,[np.float64(0.9557525557036697)],33.416399999999996
1_2,circular,1.9,[np.float64(0.955782947700878)],32.4498
1_2,circular,1.8,[np.float64(1.294668616413753)],32.9211
1_2,circular,0.9,[np.float64(0.957566019749206)],37.9089
1_2,circular,0.8,[np.float64(1.285760030097137)],38.5371
1_2,oval,0.8,[np.float64(1.0952179195194849)],49.70100000000001
1_2,oval,0.9,[np.float64(1.0892060886165136)],49.846500000000006
1_2,oval,1.8,[np.float64(1.0390661269374437)],49.96600000000001
1_2,oval,1.9,[np.float64(1.0360023315085634)],49.9032
1_2,oval,1.7,[np.float64(1.0424405010034585)],49.9749
1_2,oval,1.6,[np.float64(1.046153852592458)],50.0299
1_2,oval,1.4,[np.float64(1.0549538452885263)],50.0096
1_2,oval,1.5,[np.float64(1.0503158437878677)],50.0329
1_2,oval,1.1,[np.float64(1.0727702334278477)],49.98440000000001
1_2,oval,1.0,[np.float64(1.080420856542191)],49.932500000000005
1_2,oval,1.2,[np.float64(1.0660655608954253)],50.0287
1_2,oval,1.3,[np.float64(1.0601697009800517)],50.0492
1_2,oval,0.4,[np.float64(1.1429968678263798)],48.5691
1_2,oval,0.5,[np.float64(1.1280092295659787)],48.9474
1_2,oval,0.7,[np.float64(1.1031500946583412)],49.5401
1_2,oval,0.6,[np.float64(1.1122664839579692)],49.2702
1_2,oval,0.2,[np.float64(1.1805473445187853)],47.205200000000005
1_2,oval,2.0,[np.float64(1.0332055722693883)],49.8732
1_2,oval,0.3,[np.float64(1.1514415075326492)],47.957100000000004
1_2,oval,0.1,[np.float64(1.2161783826950912)],46.112700000000004
1_2,oval,0.0,[np.float64(1.524958820788806)],40.877900000000004
1_3,circular,1.2,[np.float64(1.937011209700985)],40.2992
1_3,circular,1.3,[np.float64(1.9348735185168808)],39.80950000000001
1_3,circular,1.1,[np.float64(2.701146278149398)],40.8215
1_3,circular,1.0,[np.float64(1.941030293349861)],41.384800000000006
1_3,circular,1.4,[np.float64(1.795033754660764)],39.3108
1_3,circular,1.5,[np.float64(2.6902906475011177)],38.827600000000004
1_3,circular,1.7,[np.float64(2.6736361012669696)],37.8676
1_3,circular,1.6,[np.float64(2.681780464095065)],38.341100000000004
1_3,circular,0.1,[np.float64(1.812355193773277)],45.705600000000004
1_3,circular,0.0,[np.float64(1.7774084538252728)],44.71900000000001
1_3,circular,0.2,[np.float64(1.823304346911039)],45.5088
1_3,circular,2.0,[np.float64(5.263704023781724)],36.5793
1_3,circular,0.3,[np.float64(2.772224134266759)],45.1114
1_3,circular,0.7,[np.float64(1.7189427874313792)],43.01690000000001
1_3,circular,0.6,[np.float64(1.8889610020828906)],43.5599
1_3,circular,0.4,[np.float64(1.7336139406367757)],44.632600000000004
1_3,circular,0.5,[np.float64(1.888082028933071)],44.1058
1_3,circular,0.8,[np.float64(2.7240537667210103)],42.4667
1_3,circular,0.9,[np.float64(2.7227710230208775)],41.9274
1_3,circular,1.8,[np.float64(2.66578801932049)],37.4324
1_3,circular,1.9,[np.float64(5.26462855739097)],36.996900000000004
1_3,oval,0.9,[np.float64(1.6471010813569713)],51.8054
1_3,oval,0.8,[np.float64(1.6346276988313726)],51.7079
1_3,oval,1.9,[np.float64(1.823129174611734)],51.9011
1_3,oval,1.8,[np.float64(1.8196862189030816)],51.9388
1_3,oval,1.0,[np.float64(1.7107630957376576)],51.9162
1_3,oval,1.1,[np.float64(1.7203566382182987)],51.960699999999996
1_3,oval,1.3,[np.float64(1.7359552776260696)],52.0136
1_3,oval,1.2,[np.float64(1.7286985103538441)],52.004200000000004
1_3,oval,1.6,[np.float64(1.7527653862821349)],51.99060000000001
1_3,oval,1.7,[np.float64(1.8157275393951704)],51.9654
