Mesh,Pressure,Area_start,Area_end,Width_start,Width_end,Length_start,Length_end, Volume_1_start, Volume_2_start, Volume_1_end, Volume_2_end
1_2,0.01,40.54,47.57,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3762.76,3902.51
1_2,0.02,40.54,49.73,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3829.92,3968.82
1_2,0.03,40.54,51.27,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3863.28,4005.45
1_2,0.04,40.54,52.54,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3886.62,4033
1_2,0.05,40.54,53.66,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3907.18,4060.08
1_2,0.06,40.54,54.76,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3925.57,4078.52
1_2,0.07,40.54,55.68,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3940.23,4095.26
1_2,0.08,40.54,56.43,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3953.52,4110.16
1_2,0.09,40.54,57.32,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3967.22,4124.98
1_2,0.1,40.54,58.04,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3976.81,4138.94
1_2,0.11,40.54,58.85,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3986.84,4151.09
1_2,0.12,40.54,59.43,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3997.45,4163.35
1_2,0.13,40.54,60.04,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4006.61,4175.2
1_2,0.14,40.54,60.59,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4015.18,4185.65
1_2,0.15,40.54,61.27,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4023.86,4195.51
1_2,0.16,40.54,61.85,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4029.93,4208.02
1_2,0.17,40.54,62.21,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4037.81,4217.76
1_2,0.18,40.54,62.7,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4044.6,4227.72
1_2,0.19,40.54,63.3,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4053.73,4235.65
1_2,0.2,40.54,63.79,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4060.66,4244.8
