Mesh,Pressure,Area_start,Area_end,Width_start,Width_end,Length_start,Length_end, Volume_1_start, Volume_2_start, Volume_1_end, Volume_2_end
1_2,0.01,40.54,47.57,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3763.75,3906.27
1_2,0.11,40.54,58.81,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3989.4,4152.5
1_2,0.21,40.54,64.38,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4068.31,4253.3
1_2,0.31,40.54,68.55,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4133.35,4336.75
1_2,0.41,40.54,72,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4194.03,4409.12
1_2,0.51,40.54,74.98,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4252.86,4477.37
1_2,0.61,40.54,77.76,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4309.92,4541.39
1_2,0.71,40.54,80.34,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4364.88,4604.06
1_2,0.81,40.54,82.68,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4418.91,4665.07
1_2,0.91,40.54,84.89,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4471.88,4724.93
1_3,0.01,44.4,51.5,0,0,0,0,3630.77,3361.27,3910.8,3725.7
1_3,0.11,44.4,62.79,0,0,0,0,3630.77,3361.27,4156.11,3952.33
1_3,0.21,44.4,68.06,0,0,0,0,3630.77,3361.27,4249.01,4039.96
1_3,0.31,44.4,72.19,0,0,0,0,3630.77,3361.27,4321.11,4115.24
1_3,0.41,44.4,75.65,0,0,0,0,3630.77,3361.27,4385.32,4183.51
1_3,0.51,44.4,78.53,0,0,0,0,3630.77,3361.27,4445.2,4250.15
1_3,0.61,44.4,81.21,0,0,0,0,3630.77,3361.27,4503.96,4309.4
1_3,0.71,44.4,83.68,0,0,0,0,3630.77,3361.27,4560.95,4367.13
1_3,0.81,44.4,85.87,0,0,0,0,3630.77,3361.27,4617.16,4423.99
1_3,0.91,44.4,88.06,0,0,0,0,3630.77,3361.27,4672.3,4479.86
1_4,0.01,42.25,49,0,0,0,0,3239.76,3451.54,3415.1,3694.23
1_4,0.11,42.25,59.43,0,0,0,0,3239.76,3451.54,3579.27,3904.91
1_4,0.21,42.25,64.4,0,0,0,0,3239.76,3451.54,3649.05,3989.88
1_4,0.31,42.25,68.22,0,0,0,0,3239.76,3451.54,3709.61,4058.38
1_4,0.41,42.25,71.39,0,0,0,0,3239.76,3451.54,3762.05,4121.61
1_4,0.51,42.25,74.07,0,0,0,0,3239.76,3451.54,3811.47,4180.29
1_4,0.61,42.25,76.57,0,0,0,0,3239.76,3451.54,3860.74,4236.7
1_4,0.71,42.25,78.92,0,0,0,0,3239.76,3451.54,3906.98,4291.63
1_4,0.81,42.25,81.07,0,0,0,0,3239.76,3451.54,3952.51,4344.31
1_4,0.91,42.25,82.99,0,0,0,0,3239.76,3451.54,3997.32,4396.41
1_5,0.01,48.77,56.42,0,0,0,0,4178.16,4646.45,4536.8,5036.07
1_5,0.11,48.77,69.77,0,0,0,0,4178.16,4646.45,4852.77,5330.39
1_5,0.21,48.77,76.33,0,0,0,0,4178.16,4646.45,4970.17,5449.08
1_5,0.31,48.77,81.07,0,0,0,0,4178.16,4646.45,5062.45,5546.81
1_5,0.41,48.77,85.04,0,0,0,0,4178.16,4646.45,5143.41,5638.82
1_5,0.51,48.77,88.73,0,0,0,0,4178.16,4646.45,5221.06,5724.73
1_5,0.61,48.77,92.01,0,0,0,0,4178.16,4646.45,5296.21,5808.29
1_5,0.71,48.77,95.1,0,0,0,0,4178.16,4646.45,5370.53,5889.51
