Mesh,Pressure,Area_start,Area_end,Width_start,Width_end,Length_start,Length_end,Volume_1_start,Volume_2_start,Volume_1_end,Volume_2_end,Pore_width_start,Pore_width_end,Pore_height_start,Pore_height_end,Min_diameter_start,Min_diameter_end
mesh_3_2_scaled_separated,0.01,27.87,53.5,0,0,0,0,5672.65,5536.21,5783.86,5652.02,3,5.1,11.6,14.3,3,5.1
mesh_3_2_scaled_separated,0.11,27.87,67.61,0,0,0,0,5672.65,5536.21,5927.74,5793.7,3,6.2,11.6,14.7,3,6.2
mesh_3_2_scaled_separated,0.21,27.87,74.15,0,0,0,0,5672.65,5536.21,6032.85,5892.53,3,6.7,11.6,15,3,6.7
mesh_3_2_scaled_separated,0.31,27.87,79.22,0,0,0,0,5672.65,5536.21,6130.92,5986.32,3,7.1,11.6,15.2,3,7.1
mesh_3_2_scaled_separated,0.41,27.87,83.87,0,0,0,0,5672.65,5536.21,6226.2,6078.14,3,7.4,11.6,15.4,3,7.4
mesh_3_2_scaled_separated,0.51,27.87,88.15,0,0,0,0,5672.65,5536.21,6320.09,6169.07,3,7.7,11.6,15.6,3,7.7
mesh_3_2_scaled_separated,0.61,27.87,92.33,0,0,0,0,5672.65,5536.21,6413.26,6259.54,3,8,11.6,15.7,3,8
mesh_3_2_scaled_separated,0.71,27.87,96.13,0,0,0,0,5672.65,5536.21,6506.13,6349.84,3,8.3,11.6,16,3,8.3
mesh_3_2_scaled_separated,0.81,27.87,99.79,0,0,0,0,5672.65,5536.21,6598.94,6440.18,3,8.6,11.6,16.2,3,8.6
mesh_3_2_scaled_separated,0.91,27.87,103.38,0,0,0,0,5672.65,5536.21,6691.86,6530.7,3,8.8,11.6,16.3,3,8.8
mesh_3_3_scaled_separated,0.01,14.15,28.56,0,0,0,0,5351.27,5667.3,5479.38,5803.31,2,3.4,10.4,12.1,2,3.4
mesh_3_3_scaled_separated,0.11,14.15,40.5,0,0,0,0,5351.27,5667.3,5637.57,5968.62,2,4.6,10.4,12.3,2,4.6
mesh_3_3_scaled_separated,0.21,14.15,46.32,0,0,0,0,5351.27,5667.3,5743.54,6082.32,2,5.1,10.4,13,2,5.1
mesh_3_3_scaled_separated,0.31,14.15,50.87,0,0,0,0,5351.27,5667.3,5840.65,6186.47,2,5.5,10.4,13.3,2,5.5
mesh_3_3_scaled_separated,0.41,14.15,54.75,0,0,0,0,5351.27,5667.3,5934.36,6287.11,2,5.8,10.4,13.6,2,5.8
mesh_3_3_scaled_separated,0.51,14.15,58.2,0,0,0,0,5351.27,5667.3,6026.31,6385.99,2,6.1,10.4,13.8,2,6.1
mesh_3_3_scaled_separated,0.61,14.15,61.38,0,0,0,0,5351.27,5667.3,6117.53,6483.93,2,6.4,10.4,14,2,6.4
mesh_3_3_scaled_separated,0.71,14.15,64.25,0,0,0,0,5351.27,5667.3,6208.22,6581.42,2,6.6,10.4,14.2,2,6.6
mesh_3_3_scaled_separated,0.81,14.15,67.03,0,0,0,0,5351.27,5667.3,6298.76,6678.81,2,6.8,10.4,14.3,2,6.8
mesh_3_3_scaled_separated,0.91,14.15,69.69,0,0,0,0,5351.27,5667.3,6389.36,6776.29,2,7,10.4,14.4,2,7
mesh_3_4_scaled_separated,0.01,29.1,43.07,0,0,0,0,5680.3,5775.52,5741.8,5874.88,3.2,4.3,9.3,11.1,3.2,4.3
mesh_3_4_scaled_separated,0.11,29.1,55.3,0,0,0,0,5680.3,5775.52,5880.96,6015.55,3.2,5.3,9.3,12.2,3.2,5.3
mesh_3_4_scaled_separated,0.21,29.1,61.14,0,0,0,0,5680.3,5775.52,5981.64,6119.69,3.2,5.8,9.3,12.6,3.2,5.8
mesh_3_4_scaled_separated,0.31,29.1,65.93,0,0,0,0,5680.3,5775.52,6076.7,6218.73,3.2,6.2,9.3,12.8,3.2,6.2
mesh_3_4_scaled_separated,0.41,29.1,70.13,0,0,0,0,5680.3,5775.52,6169.62,6315.86,3.2,6.6,9.3,13.2,3.2,6.6
mesh_3_4_scaled_separated,0.51,29.1,73.98,0,0,0,0,5680.3,5775.52,6261.5,6412.11,3.2,6.9,9.3,13.5,3.2,6.9
mesh_3_4_scaled_separated,0.61,29.1,77.74,0,0,0,0,5680.3,5775.52,6352.85,6507.96,3.2,7.1,9.3,13.7,3.2,7.1
mesh_3_4_scaled_separated,0.71,29.1,81.28,0,0,0,0,5680.3,5775.52,6444,6603.68,3.2,7.4,9.3,14,3.2,7.4
mesh_3_4_scaled_separated,0.81,29.1,84.68,0,0,0,0,5680.3,5775.52,6535.21,6699.5,3.2,7.6,9.3,14.2,3.2,7.6
mesh_3_4_scaled_separated,0.91,29.1,87.92,0,0,0,0,5680.3,5775.52,6626.6,6795.52,3.2,7.9,9.3,14.4,3.2,7.9
mesh_3_6_scaled_separated,0.01,45.73,74.42,0,0,0,0,6509.73,6429.64,6659.5,6573.6,4.3,6.3,9.9,12.6,4.3,6.3
mesh_3_6_scaled_separated,0.11,45.73,92.38,0,0,0,0,6509.73,6429.64,6828.15,6743,4.3,7.4,9.9,13.8,4.3,7.4
mesh_3_6_scaled_separated,0.21,45.73,100.13,0,0,0,0,6509.73,6429.64,6951.88,6863.84,4.3,7.8,9.9,14.5,4.3,7.8
mesh_3_6_scaled_separated,0.31,45.73,106.21,0,0,0,0,6509.73,6429.64,7069.02,6977.86,4.3,8.2,9.9,14.9,4.3,8.2
mesh_3_6_scaled_separated,0.41,45.73,111.73,0,0,0,0,6509.73,6429.64,7183.79,7089.24,4.3,8.6,9.9,15.3,4.3,8.6
mesh_3_6_scaled_separated,0.51,45.73,116.98,0,0,0,0,6509.73,6429.64,7297.1,7199.46,4.3,8.9,9.9,15.6,4.3,8.9
mesh_3_6_scaled_separated,0.61,45.73,121.91,0,0,0,0,6509.73,6429.64,7410.18,7309.06,4.3,9.2,9.9,15.8,4.3,9.2
mesh_3_6_scaled_separated,0.71,45.73,126.67,0,0,0,0,6509.73,6429.64,7522.43,7418.48,4.3,9.5,9.9,16.1,4.3,9.5
mesh_3_6_scaled_separated,0.81,45.73,131.22,0,0,0,0,6509.73,6429.64,7634.65,7527.96,4.3,9.8,9.9,16.3,4.3,9.8
mesh_3_6_scaled_separated,0.91,45.73,135.67,0,0,0,0,6509.73,6429.64,7747.09,7637.68,4.3,10,9.9,16.7,4.3,10
mesh_3_7_scaled_separated,0.01,26.97,37.12,0,0,0,0,5417.95,6184.71,5475.08,6302.52,3.2,4.3,9.4,11,3.2,4.3
mesh_3_7_scaled_separated,0.11,26.97,45.76,0,0,0,0,5417.95,6184.71,5598.48,6477.16,3.2,4.9,9.4,11.8,3.2,4.9
mesh_3_7_scaled_separated,0.21,26.97,50.45,0,0,0,0,5417.95,6184.71,5693.57,6603.02,3.2,5.3,9.4,12.2,3.2,5.3
mesh_3_7_scaled_separated,0.31,26.97,54.41,0,0,0,0,5417.95,6184.71,5784.51,6720.27,3.2,5.6,9.4,12.6,3.2,5.6
mesh_3_7_scaled_separated,0.41,26.97,58.15,0,0,0,0,5417.95,6184.71,5873.34,6834.16,3.2,5.9,9.4,12.8,3.2,5.9
mesh_3_7_scaled_separated,0.51,26.97,61.67,0,0,0,0,5417.95,6184.71,5961.11,6946.38,3.2,6.2,9.4,13,3.2,6.2
mesh_3_7_scaled_separated,0.61,26.97,65.1,0,0,0,0,5417.95,6184.71,6048.31,7057.72,3.2,6.5,9.4,13.4,3.2,6.5
mesh_3_7_scaled_separated,0.71,26.97,68.39,0,0,0,0,5417.95,6184.71,6135.28,7168.71,3.2,6.7,9.4,13.7,3.2,6.7
mesh_3_7_scaled_separated,0.81,26.97,71.4,0,0,0,0,5417.95,6184.71,6222.22,7279.68,3.2,6.9,9.4,13.8,3.2,6.9
mesh_3_7_scaled_separated,0.91,26.97,74.53,0,0,0,0,5417.95,6184.71,6309.26,7390.85,3.2,7.2,9.4,14,3.2,7.2
