Mesh,Pressure,Area_start,Area_end,Width_start,Width_end,Length_start,Length_end,Volume_1_start,Volume_2_start,Volume_1_end,Volume_2_end,Pore_width_start,Pore_width_end,Pore_height_start,Pore_height_end,Min_diameter_start,Min_diameter_end
1_2,0.01,40.56,47.62,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3775.53,3897.55,4.9,5.8,11,11,4.9,5.8
1_2,0.11,40.56,58.85,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3994.14,4148.22,4.9,6.8,11,11.7,4.9,6.8
1_2,0.21,40.56,64.25,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4069.94,4250.61,4.9,7.2,11,12,4.9,7.2
1_2,0.31,40.56,68.4,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4132.12,4337.66,4.9,7.4,11,12.2,4.9,7.4
1_2,0.41,40.56,71.97,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4194.46,4408.93,4.9,7.7,11,12.4,4.9,7.7
1_2,0.51,40.56,75.04,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4252.88,4477.73,4.9,7.9,11,12.6,4.9,7.9
1_2,0.61,40.56,77.77,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4310.16,4541.48,4.9,8.1,11,12.7,4.9,8.1
1_2,0.71,40.56,80.37,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4364.88,4604.13,4.9,8.3,11,12.9,4.9,8.3
1_2,0.81,40.56,82.67,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4418.91,4665.07,4.9,8.4,11,13,4.9,8.4
1_2,0.91,40.56,84.88,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4471.87,4724.93,4.9,8.5,11,13.1,4.9,8.5
1_3,0.01,44.41,51.38,0,0,0,0,3630.77,3361.27,3909.91,3723.58,5.8,6.8,12.3,12,5.8,6.8
1_3,0.11,44.41,62.92,0,0,0,0,3630.77,3361.27,4158.78,3950.79,5.8,7.8,12.3,12.2,5.8,7.8
1_3,0.21,44.41,68.18,0,0,0,0,3630.77,3361.27,4246.64,4042.83,5.8,8.2,12.3,12.4,5.8,8.2
1_3,0.31,44.41,72.26,0,0,0,0,3630.77,3361.27,4320.12,4116.7,5.8,8.4,12.3,12.6,5.8,8.4
1_3,0.41,44.41,75.59,0,0,0,0,3630.77,3361.27,4385.63,4186.17,5.8,8.5,12.3,12.8,5.8,8.5
1_3,0.51,44.41,78.59,0,0,0,0,3630.77,3361.27,4446.56,4248.6,5.8,8.7,12.3,12.9,5.8,8.7
1_3,0.61,44.41,81.18,0,0,0,0,3630.77,3361.27,4504.66,4308.92,5.8,8.8,12.3,13.1,5.8,8.8
1_3,0.71,44.41,83.63,0,0,0,0,3630.77,3361.27,4560.91,4367.47,5.8,8.9,12.3,13.2,5.8,8.9
1_3,0.81,44.41,85.9,0,0,0,0,3630.77,3361.27,4617.46,4423.84,5.8,9,12.3,13.3,5.8,9
1_3,0.91,44.41,88.07,0,0,0,0,3630.77,3361.27,4672.33,4479.82,5.8,9.1,12.3,13.5,5.8,9.1
1_4,0.01,42.28,48.97,0,0,0,0,3239.76,3451.54,3414.25,3693.97,4.5,5.5,11.6,11.6,4.5,5.5
1_4,0.11,42.28,59.62,0,0,0,0,3239.76,3451.54,3580.82,3902.34,4.5,6.4,11.6,12,4.5,6.4
1_4,0.21,42.28,64.43,0,0,0,0,3239.76,3451.54,3650.07,3987.97,4.5,6.7,11.6,12.2,4.5,6.7
1_4,0.31,42.28,68.29,0,0,0,0,3239.76,3451.54,3709.24,4058.93,4.5,7,11.6,12.5,4.5,7
1_4,0.41,42.28,71.32,0,0,0,0,3239.76,3451.54,3762.52,4121.19,4.5,7.2,11.6,12.6,4.5,7.2
1_4,0.51,42.28,74.16,0,0,0,0,3239.76,3451.54,3812.44,4180.04,4.5,7.4,11.6,12.8,4.5,7.4
1_4,0.61,42.28,76.56,0,0,0,0,3239.76,3451.54,3860.44,4236.91,4.5,7.5,11.6,12.9,4.5,7.5
1_4,0.71,42.28,78.91,0,0,0,0,3239.76,3451.54,3906.79,4291.6,4.5,7.7,11.6,13.1,4.5,7.7
1_4,0.81,42.28,81.1,0,0,0,0,3239.76,3451.54,3952.58,4344.18,4.5,7.8,11.6,13.2,4.5,7.8
1_4,0.91,42.28,82.99,0,0,0,0,3239.76,3451.54,3997.33,4396.39,4.5,7.9,11.6,13.3,4.5,7.9
1_5,0.01,48.75,56.39,0,0,0,0,4178.16,4646.45,4536.61,5036.79,5.2,6.1,13.3,13.2,5.2,6.1
1_5,0.11,48.75,69.82,0,0,0,0,4178.16,4646.45,4851.03,5332.96,5.2,7.1,13.3,13.4,5.2,7.1
1_5,0.21,48.75,76.11,0,0,0,0,4178.16,4646.45,4969.83,5450.01,5.2,7.5,13.3,13.6,5.2,7.5
1_5,0.31,48.75,81.09,0,0,0,0,4178.16,4646.45,5062.58,5547.46,5.2,7.9,13.3,13.7,5.2,7.9
1_5,0.41,48.75,85.19,0,0,0,0,4178.16,4646.45,5143.96,5638.59,5.2,8.2,13.3,13.9,5.2,8.2
1_5,0.51,48.75,88.73,0,0,0,0,4178.16,4646.45,5222.16,5724,5.2,8.4,13.3,14,5.2,8.4
1_5,0.61,48.75,91.95,0,0,0,0,4178.16,4646.45,5296.17,5808.36,5.2,8.6,13.3,14.1,5.2,8.6
1_5,0.71,48.75,94.96,0,0,0,0,4178.16,4646.45,5370.13,5889.61,5.2,8.8,13.3,14.2,5.2,8.8
1_5,0.81,48.75,97.96,0,0,0,0,4178.16,4646.45,5442.08,5968.73,5.2,9,13.3,14.3,5.2,9
1_5,0.91,48.75,100.49,0,0,0,0,4178.16,4646.45,5511.83,6047.15,5.2,9.1,13.3,14.4,5.2,9.1
1_6,0.01,53.57,64.86,0,0,0,0,3788.08,3668.02,4154.87,3878.06,4.9,5.9,14.7,14.7,4.9,5.9
1_6,0.11,53.57,79.72,0,0,0,0,3788.08,3668.02,4372.39,4087.03,4.9,6.9,14.7,15.3,4.9,6.9
1_6,0.21,53.57,87.01,0,0,0,0,3788.08,3668.02,4470.17,4169.42,4.9,7.4,14.7,15.6,4.9,7.4
1_6,0.31,53.57,92.33,0,0,0,0,3788.08,3668.02,4548.85,4236.87,4.9,7.6,14.7,15.8,4.9,7.6
1_6,0.41,53.57,96.96,0,0,0,0,3788.08,3668.02,4619.18,4298.06,4.9,8,14.7,15.9,4.9,8
1_6,0.51,53.57,100.73,0,0,0,0,3788.08,3668.02,4685.8,4355.28,4.9,8.2,14.7,16.1,4.9,8.2
1_6,0.61,53.57,104.33,0,0,0,0,3788.08,3668.02,4749.23,4411.02,4.9,8.4,14.7,16.2,4.9,8.4
1_6,0.71,53.57,107.54,0,0,0,0,3788.08,3668.02,4811.43,4465.51,4.9,8.6,14.7,16.3,4.9,8.6
1_6,0.81,53.57,110.58,0,0,0,0,3788.08,3668.02,4872.6,4518.33,4.9,8.7,14.7,16.4,4.9,8.7
1_6,0.91,53.57,113.45,0,0,0,0,3788.08,3668.02,4932.62,4570.85,4.9,8.9,14.7,16.5,4.9,8.9
1_8,0.01,65.24,68.67,0,0,0,0,3560.49,3743.82,3763.18,3965.29,8.8,9.1,8.7,9,8.7,9
1_8,0.11,65.24,77.98,0,0,0,0,3560.49,3743.82,3931.15,4170.37,8.8,9.9,8.7,9.7,8.7,9.7
1_8,0.21,65.24,83.13,0,0,0,0,3560.49,3743.82,4005.75,4261.41,8.8,10.2,8.7,10,8.7,10
1_8,0.31,65.24,86.92,0,0,0,0,3560.49,3743.82,4068.23,4333.22,8.8,10.5,8.7,10.3,8.7,10.3
1_8,0.41,65.24,90.25,0,0,0,0,3560.49,3743.82,4125.77,4398,8.8,10.7,8.7,10.5,8.7,10.5
1_8,0.51,65.24,93.11,0,0,0,0,3560.49,3743.82,4180.52,4458.43,8.8,10.8,8.7,10.6,8.7,10.6
1_8,0.61,65.24,95.99,0,0,0,0,3560.49,3743.82,4233.16,4516.75,8.8,11,8.7,10.8,8.7,10.8
1_8,0.71,65.24,98.43,0,0,0,0,3560.49,3743.82,4284.25,4573.72,8.8,11.1,8.7,11,8.7,11
1_8,0.81,65.24,100.85,0,0,0,0,3560.49,3743.82,4334.21,4629.57,8.8,11.2,8.7,11.1,8.7,11.1
1_8,0.91,65.24,103.04,0,0,0,0,3560.49,3743.82,4383.7,4685,8.8,11.3,8.7,11.2,8.7,11.2
2_1,0.01,73.51,77.14,0,0,0,0,2982.92,2924.95,3186.18,3119.74,9.1,9.7,11.8,11.5,9.1,9.7
2_1,0.11,73.51,84.99,0,0,0,0,2982.92,2924.95,3329.94,3284.57,9.1,10.3,11.8,11.7,9.1,10.3
2_1,0.21,73.51,89.39,0,0,0,0,2982.92,2924.95,3394.55,3352.25,9.1,10.6,11.8,12,9.1,10.6
2_1,0.31,73.51,92.95,0,0,0,0,2982.92,2924.95,3446.99,3407.63,9.1,10.7,11.8,12.2,9.1,10.7
2_1,0.41,73.51,96,0,0,0,0,2982.92,2924.95,3492.63,3458.51,9.1,10.9,11.8,12.3,9.1,10.9
2_1,0.51,73.51,98.58,0,0,0,0,2982.92,2924.95,3537.84,3504.53,9.1,11,11.8,12.4,9.1,11
2_1,0.61,73.51,100.99,0,0,0,0,2982.92,2924.95,3580.47,3548.43,9.1,11,11.8,12.6,9.1,11
2_1,0.71,73.51,103.39,0,0,0,0,2982.92,2924.95,3622.38,3590.43,9.1,11.1,11.8,12.8,9.1,11.1
2_1,0.81,73.51,105.62,0,0,0,0,2982.92,2924.95,3663.23,3631.77,9.1,11.3,11.8,12.9,9.1,11.3
2_1,0.91,73.51,107.62,0,0,0,0,2982.92,2924.95,3703.39,3672.43,9.1,11.3,11.8,13.1,9.1,11.3
2_3,0.01,73.41,80.88,0,0,0,0,3178.74,3569.28,3347.46,3837.52,8,9.1,13,12.7,8,9.1
2_3,0.11,73.41,91.62,0,0,0,0,3178.74,3569.28,3490.47,4053.21,8,9.9,13,13,8,9.9
2_3,0.21,73.41,97.02,0,0,0,0,3178.74,3569.28,3554.44,4145.3,8,10.3,13,13.2,8,10.3
2_3,0.31,73.41,101.27,0,0,0,0,3178.74,3569.28,3607.76,4217.2,8,10.4,13,13.3,8,10.4
2_3,0.41,73.41,105,0,0,0,0,3178.74,3569.28,3655.36,4280.57,8,10.7,13,13.5,8,10.7
2_3,0.51,73.41,108.27,0,0,0,0,3178.74,3569.28,3699.85,4340.73,8,10.8,13,13.7,8,10.8
2_3,0.61,73.41,111.28,0,0,0,0,3178.74,3569.28,3743.21,4398.48,8,10.9,13,13.8,8,10.9
2_3,0.71,73.41,113.91,0,0,0,0,3178.74,3569.28,3785.43,4454.13,8,11,13,13.9,8,11
2_3,0.81,73.41,116.51,0,0,0,0,3178.74,3569.28,3826.98,4508.56,8,11.1,13,14.1,8,11.1
2_3,0.91,73.41,118.89,0,0,0,0,3178.74,3569.28,3868.21,4562.36,8,11.2,13,14.2,8,11.2
2_4,0.01,17.41,19.35,0,0,0,0,3237.84,3125.24,3597.54,3520.61,3.3,3.8,6.6,6.6,3.3,3.8
2_4,0.11,17.41,23.05,0,0,0,0,3237.84,3125.24,3804.26,3753.83,3.3,4.3,6.6,6.9,3.3,4.3
2_4,0.21,17.41,24.86,0,0,0,0,3237.84,3125.24,3892.79,3836.88,3.3,4.5,6.6,7.1,3.3,4.5
2_4,0.31,17.41,26.2,0,0,0,0,3237.84,3125.24,3967.68,3904.48,3.3,4.7,6.6,7.3,3.3,4.7
2_4,0.41,17.41,27.35,0,0,0,0,3237.84,3125.24,4035.42,3963.82,3.3,4.7,6.6,7.5,3.3,4.7
2_4,0.51,17.41,28.42,0,0,0,0,3237.84,3125.24,4097.77,4022.21,3.3,4.8,6.6,7.6,3.3,4.8
2_4,0.61,17.41,29.26,0,0,0,0,3237.84,3125.24,4157.01,4078.54,3.3,4.8,6.6,7.7,3.3,4.8
2_4,0.71,17.41,30.18,0,0,0,0,3237.84,3125.24,4214.75,4136.45,3.3,5,6.6,7.9,3.3,5
2_4,0.81,17.41,31.06,0,0,0,0,3237.84,3125.24,4271.47,4192.66,3.3,5,6.6,8,3.3,5
2_4,0.91,17.41,31.81,0,0,0,0,3237.84,3125.24,4328.18,4245.37,3.3,5,6.6,8.1,3.3,5
2_6a,0.01,20.92,26.96,0,0,0,0,3048.1,3228.79,3457.18,3727.99,2.9,4,8.7,8.7,2.9,4
2_6a,0.11,20.92,32.84,0,0,0,0,3048.1,3228.79,3685.9,3974.66,2.9,4.6,8.7,9.2,2.9,4.6
2_6a,0.21,20.92,35.62,0,0,0,0,3048.1,3228.79,3776.65,4059.73,2.9,4.8,8.7,9.5,2.9,4.8
2_6a,0.31,20.92,37.56,0,0,0,0,3048.1,3228.79,3846.47,4127.8,2.9,5,8.7,9.7,2.9,5
2_6a,0.41,20.92,39.58,0,0,0,0,3048.1,3228.79,3908.18,4191.06,2.9,5.1,8.7,9.9,2.9,5.1
2_6a,0.51,20.92,41.37,0,0,0,0,3048.1,3228.79,3965.45,4250.19,2.9,5.3,8.7,10,2.9,5.3
2_6a,0.61,20.92,42.89,0,0,0,0,3048.1,3228.79,4019.36,4307.15,2.9,5.4,8.7,10.2,2.9,5.4
2_6a,0.71,20.92,44.34,0,0,0,0,3048.1,3228.79,4071.83,4362.59,2.9,5.5,8.7,10.3,2.9,5.5
2_6a,0.81,20.92,45.5,0,0,0,0,3048.1,3228.79,4122.76,4416.77,2.9,5.6,8.7,10.4,2.9,5.6
2_6a,0.91,20.92,46.74,0,0,0,0,3048.1,3228.79,4173.29,4470.39,2.9,5.7,8.7,10.5,2.9,5.7
2_6b,0.01,13.99,15.11,0,0,0,0,3113.3,2725.99,3456.76,3060.71,3.3,3.6,6.1,6,3.3,3.6
2_6b,0.11,13.99,17.13,0,0,0,0,3113.3,2725.99,3687.95,3243.37,3.3,3.8,6.1,6.2,3.3,3.8
2_6b,0.21,13.99,18.21,0,0,0,0,3113.3,2725.99,3778.56,3311.06,3.3,3.9,6.1,6.4,3.3,3.9
2_6b,0.31,13.99,19.07,0,0,0,0,3113.3,2725.99,3853.46,3365.88,3.3,3.9,6.1,6.5,3.3,3.9
2_6b,0.41,13.99,19.92,0,0,0,0,3113.3,2725.99,3919.65,3414.28,3.3,4,6.1,6.6,3.3,4
2_6b,0.51,13.99,20.48,0,0,0,0,3113.3,2725.99,3981.66,3460.23,3.3,4,6.1,6.7,3.3,4
2_6b,0.61,13.99,21.15,0,0,0,0,3113.3,2725.99,4039.41,3504.58,3.3,4,6.1,6.9,3.3,4
2_6b,0.71,13.99,21.65,0,0,0,0,3113.3,2725.99,4095.69,3547.64,3.3,4.1,6.1,6.9,3.3,4.1
2_6b,0.81,13.99,22.09,0,0,0,0,3113.3,2725.99,4150.07,3589.97,3.3,4.1,6.1,7.1,3.3,4.1
2_6b,0.91,13.99,22.69,0,0,0,0,3113.3,2725.99,4203.66,3631.95,3.3,4.1,6.1,7.1,3.3,4.1
2_7a,0.01,48.25,52.84,0,0,0,0,3109.56,2828.75,3279.25,3003.79,6.6,7.3,12.5,12.2,6.6,7.3
2_7a,0.11,48.25,61.3,0,0,0,0,3109.56,2828.75,3464.96,3162.26,6.6,8,12.5,12.5,6.6,8
2_7a,0.21,48.25,65.86,0,0,0,0,3109.56,2828.75,3534.58,3229.09,6.6,8.2,12.5,12.8,6.6,8.2
2_7a,0.31,48.25,69.52,0,0,0,0,3109.56,2828.75,3588.69,3282.53,6.6,8.4,12.5,12.9,6.6,8.4
2_7a,0.41,48.25,72.58,0,0,0,0,3109.56,2828.75,3638.1,3330.85,6.6,8.5,12.5,13.1,6.6,8.5
2_7a,0.51,48.25,75.23,0,0,0,0,3109.56,2828.75,3683.73,3376.05,6.6,8.6,12.5,13.3,6.6,8.6
2_7a,0.61,48.25,77.54,0,0,0,0,3109.56,2828.75,3726.16,3420.89,6.6,8.7,12.5,13.4,6.6,8.7
2_7a,0.71,48.25,79.83,0,0,0,0,3109.56,2828.75,3770.29,3463.01,6.6,8.8,12.5,13.6,6.6,8.8
2_7a,0.81,48.25,81.89,0,0,0,0,3109.56,2828.75,3812.66,3504.11,6.6,8.8,12.5,13.7,6.6,8.8
2_7a,0.91,48.25,83.86,0,0,0,0,3109.56,2828.75,3854.81,3544.21,6.6,8.9,12.5,13.9,6.6,8.9
3_1,0.01,21.95,24.04,0,0,0,0,3301.1,3128.33,3489.79,3315.1,4,4.5,8.1,8,4,4.5
3_1,0.11,21.95,27.77,0,0,0,0,3301.1,3128.33,3651.43,3464.04,4,4.9,8.1,8.3,4,4.9
3_1,0.21,21.95,29.86,0,0,0,0,3301.1,3128.33,3728.02,3526.56,4,5,8.1,8.6,4,5
3_1,0.31,21.95,31.48,0,0,0,0,3301.1,3128.33,3789.02,3582.61,4,5.1,8.1,8.8,4,5.1
3_1,0.41,21.95,32.84,0,0,0,0,3301.1,3128.33,3845.35,3632.04,4,5.2,8.1,9,4,5.2
3_1,0.51,21.95,34.06,0,0,0,0,3301.1,3128.33,3897,3680.14,4,5.3,8.1,9.1,4,5.3
3_1,0.61,21.95,35.16,0,0,0,0,3301.1,3128.33,3948.3,3725.22,4,5.3,8.1,9.2,4,5.3
3_1,0.71,21.95,36.28,0,0,0,0,3301.1,3128.33,3999.15,3769.14,4,5.4,8.1,9.4,4,5.4
3_1,0.81,21.95,37.13,0,0,0,0,3301.1,3128.33,4047.8,3813.67,4,5.4,8.1,9.5,4,5.4
3_1,0.91,21.95,38.16,0,0,0,0,3301.1,3128.33,4096.43,3857.67,4,5.4,8.1,9.6,4,5.4
3_2,0.01,20.8,25.87,0,0,0,0,3754.81,3657.4,3989.06,3897.83,2.6,3.5,10.2,10.2,2.6,3.5
3_2,0.11,20.8,33.62,0,0,0,0,3754.81,3657.4,4193.76,4114.09,2.6,4.3,10.2,10.5,2.6,4.3
3_2,0.21,20.8,37.66,0,0,0,0,3754.81,3657.4,4284.82,4197.26,2.6,4.7,10.2,10.6,2.6,4.7
3_2,0.31,20.8,40.62,0,0,0,0,3754.81,3657.4,4358.14,4269.94,2.6,5,10.2,10.7,2.6,5
3_2,0.41,20.8,42.99,0,0,0,0,3754.81,3657.4,4425.63,4336.26,2.6,5.2,10.2,10.8,2.6,5.2
3_2,0.51,20.8,45.29,0,0,0,0,3754.81,3657.4,4490.11,4399.63,2.6,5.5,10.2,10.9,2.6,5.5
3_2,0.61,20.8,47.26,0,0,0,0,3754.81,3657.4,4552.64,4462.21,2.6,5.7,10.2,11,2.6,5.7
3_2,0.71,20.8,48.94,0,0,0,0,3754.81,3657.4,4613.51,4522.93,2.6,5.7,10.2,11.1,2.6,5.7
3_2,0.81,20.8,50.64,0,0,0,0,3754.81,3657.4,4673.44,4581.59,2.6,5.9,10.2,11.3,2.6,5.9
3_2,0.91,20.8,52.15,0,0,0,0,3754.81,3657.4,4732.61,4639.41,2.6,6,10.2,11.4,2.6,6
3_3,0.01,6.84,8.33,0,0,0,0,3531.43,3736.69,3817.34,3962.25,1.5,1.9,5.8,6.4,1.5,1.9
3_3,0.11,6.84,11.26,0,0,0,0,3531.43,3736.69,4014.45,4116.89,1.5,2.4,5.8,6.5,1.5,2.4
