Mesh,Pressure,Area_start,Area_end,Width_start,Width_end,Length_start,Length_end, Volume_1_start, Volume_2_start, Volume_1_end, Volume_2_end
1_2,0.01,40.4,48.11,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3809.12,3951.11
1_2,0.11,40.4,57.2,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4105.84,4286.64
1_2,0.21,40.4,60.78,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4261.32,4471.52
1_2,0.31,40.4,62.95,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4401.05,4628.62
1_2,0.41,40.4,64.35,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4534,4774.94
1_2,0.51,40.4,65.36,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4663.11,4916.9
1_2,0.61,40.4,66.19,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4790.68,5056.24
1_2,0.71,40.4,66.77,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4917.7,5194.75
1_2,0.81,40.4,67.4,4.90748,4.90748,14.314,14.314,3463.16,3596.71,5045.04,5333.19
1_2,0.91,40.4,67.88,4.90748,4.90748,14.314,14.314,3463.16,3596.71,5173.18,5472.41
1_3,0.01,44.47,52.01,0,0,0,0,3630.77,3361.27,3946.63,3772.46
1_3,0.11,44.47,61.77,0,0,0,0,3630.77,3361.27,4288.6,4084.89
1_3,0.21,44.47,65.52,0,0,0,0,3630.77,3361.27,4461.49,4263.76
1_3,0.31,44.47,67.96,0,0,0,0,3630.77,3361.27,4615.19,4415.32
1_3,0.41,44.47,69.58,0,0,0,0,3630.77,3361.27,4758.72,4557.39
1_3,0.51,44.47,70.82,0,0,0,0,3630.77,3361.27,4897.76,4693.8
1_3,0.61,44.47,71.68,0,0,0,0,3630.77,3361.27,5033.98,4827.07
1_3,0.71,44.47,72.5,0,0,0,0,3630.77,3361.27,5169.44,4958.67
1_3,0.81,44.47,73.13,0,0,0,0,3630.77,3361.27,5304.81,5089.33
1_3,0.91,44.47,73.64,0,0,0,0,3630.77,3361.27,5441.32,5220.83
1_4,0.01,42.32,49.49,0,0,0,0,3239.76,3451.54,3441.55,3726.43
1_4,0.11,42.32,57.97,0,0,0,0,3239.76,3451.54,3684.16,4022.53
1_4,0.21,42.32,61.04,0,0,0,0,3239.76,3451.54,3822.26,4180.74
1_4,0.31,42.32,62.86,0,0,0,0,3239.76,3451.54,3942.9,4319.76
1_4,0.41,42.32,64.06,0,0,0,0,3239.76,3451.54,4056.48,4449.89
1_4,0.51,42.32,64.89,0,0,0,0,3239.76,3451.54,4166.07,4575.65
1_4,0.61,42.32,65.5,0,0,0,0,3239.76,3451.54,4274.11,4698.12
1_4,0.71,42.32,65.84,0,0,0,0,3239.76,3451.54,4381.56,4820.5
1_4,0.81,42.32,66.21,0,0,0,0,3239.76,3451.54,4489.48,4943.52
