Mesh,Pressure,Area_start,Area_end,Width_start,Width_end,Length_start,Length_end, Volume_1_start, Volume_2_start, Volume_1_end, Volume_2_end
1_2,0.01,40.46,45.47,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3696.23,3833.1
1_2,0.11,40.46,52.31,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3950.48,4098.74
1_2,0.21,40.46,55.02,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4028.98,4193.89
1_2,0.31,40.46,56.94,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4091.37,4271.55
1_2,0.41,40.46,58.46,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4149.07,4337.98
1_2,0.51,40.46,59.54,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4201.81,4400.98
1_2,0.61,40.46,60.54,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4250.54,4459.69
1_2,0.71,40.46,61.43,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4299.89,4514.72
1_2,0.81,40.46,62.18,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4346.81,4567.41
1_2,0.91,40.46,62.73,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4392.51,4618.41
1_3,0.01,44.52,49.44,0,0,0,0,3630.77,3361.27,3834.48,3667.91
1_3,0.11,44.52,56.5,0,0,0,0,3630.77,3361.27,4107.77,3906.99
1_3,0.21,44.52,59.46,0,0,0,0,3630.77,3361.27,4203.17,3998.02
1_3,0.31,44.52,61.51,0,0,0,0,3630.77,3361.27,4276.34,4069.12
1_3,0.41,44.52,63.07,0,0,0,0,3630.77,3361.27,4339.48,4135.16
1_3,0.51,44.52,64.28,0,0,0,0,3630.77,3361.27,4397.27,4195.71
1_3,0.61,44.52,65.32,0,0,0,0,3630.77,3361.27,4451.76,4251.57
1_3,0.71,44.52,66.32,0,0,0,0,3630.77,3361.27,4504.23,4305.29
1_3,0.81,44.52,67.13,0,0,0,0,3630.77,3361.27,4555.6,4356.21
1_3,0.91,44.52,67.73,0,0,0,0,3630.77,3361.27,4605.34,4405.7
1_4,0.01,42.32,47,0,0,0,0,3239.76,3451.54,3385.31,3638.82
1_4,0.11,42.32,53.38,0,0,0,0,3239.76,3451.54,3538.04,3862.89
1_4,0.21,42.32,55.98,0,0,0,0,3239.76,3451.54,3616.97,3943.93
1_4,0.31,42.32,57.72,0,0,0,0,3239.76,3451.54,3673.38,4009.72
1_4,0.41,42.32,58.97,0,0,0,0,3239.76,3451.54,3724.27,4067.21
1_4,0.51,42.32,60,0,0,0,0,3239.76,3451.54,3770.79,4119.91
1_4,0.61,42.32,60.89,0,0,0,0,3239.76,3451.54,3814.13,4170.02
1_4,0.71,42.32,61.7,0,0,0,0,3239.76,3451.54,3855.88,4218.26
1_4,0.81,42.32,62.26,0,0,0,0,3239.76,3451.54,3896.68,4264.64
1_4,0.91,42.32,62.77,0,0,0,0,3239.76,3451.54,3935.69,4310.36
