Mesh,Pressure,Area_start,Area_end,Width_start,Width_end,Length_start,Length_end,Volume_1_start,Volume_2_start,Volume_1_end,Volume_2_end,Pore_width_start,Pore_width_end,Pore_height_start,Pore_height_end,Min_diameter_start,Min_diameter_end
1_2,0.01,40.76,44.58,4.90748,4.90748,14.314,14.314,5367.9,5574.9,5472.61,5693.21,0,5.5,0,10.9,0,5.5
1_2,0.11,40.76,49.83,4.90748,4.90748,14.314,14.314,5367.9,5574.9,5611.99,5866.41,0,6,0,11.1,0,6
1_2,0.21,40.76,52.18,4.90748,4.90748,14.314,14.314,5367.9,5574.9,5702.65,5970.99,0,6.2,0,11.2,0,6.2
1_2,0.31,40.76,53.82,4.90748,4.90748,14.314,14.314,5367.9,5574.9,5782.36,6061.34,0,6.3,0,11.4,0,6.3
1_2,0.41,40.76,55.07,4.90748,4.90748,14.314,14.314,5367.9,5574.9,5856.7,6144.15,0,6.4,0,11.4,0,6.4
1_2,0.51,40.76,56.06,4.90748,4.90748,14.314,14.314,5367.9,5574.9,5927.94,6223.18,0,6.5,0,11.5,0,6.5
1_2,0.61,40.76,56.88,4.90748,4.90748,14.314,14.314,5367.9,5574.9,5997.18,6299.24,0,6.6,0,11.5,0,6.6
1_2,0.71,40.76,57.51,4.90748,4.90748,14.314,14.314,5367.9,5574.9,6065.02,6373.56,0,6.7,0,11.6,0,6.7
1_2,0.81,40.76,58.01,4.90748,4.90748,14.314,14.314,5367.9,5574.9,6131.88,6446.51,0,6.7,0,11.6,0,6.7
1_2,0.91,40.76,58.47,4.90748,4.90748,14.314,14.314,5367.9,5574.9,6198,6518.52,0,6.8,0,11.6,0,6.8
1_3,0.01,44.67,48.81,0,0,0,0,5627.7,5209.96,5742.91,5410.47,0,6.4,0,12.1,0,6.4
1_3,0.11,44.67,54.09,0,0,0,0,5627.7,5209.96,5885.81,5596.42,0,7,0,11.9,0,7
1_3,0.21,44.67,56.35,0,0,0,0,5627.7,5209.96,5982.76,5694.58,0,7.1,0,11.9,0,7.1
1_3,0.31,44.67,57.95,0,0,0,0,5627.7,5209.96,6068.02,5778.78,0,7.3,0,12,0,7.3
1_3,0.41,44.67,59.19,0,0,0,0,5627.7,5209.96,6148.25,5855.32,0,7.4,0,12,0,7.4
1_3,0.51,44.67,60.16,0,0,0,0,5627.7,5209.96,6224.59,5928.23,0,7.5,0,12,0,7.5
1_3,0.61,44.67,61.06,0,0,0,0,5627.7,5209.96,6298.14,5998.34,0,7.6,0,12,0,7.6
1_3,0.71,44.67,61.74,0,0,0,0,5627.7,5209.96,6369.97,6066.64,0,7.6,0,12,0,7.6
