Mesh,Pressure,Area_start,Area_end,Width_start,Width_end,Length_start,Length_end,Volume_1_start,Volume_2_start,Volume_1_end,Volume_2_end,Pore_width_start,Pore_width_end,Pore_height_start,Pore_height_end,Min_diameter_start,Min_diameter_end
1_2,0.01,40.44,45.4,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3696.19,3844,4.9,5.7,12.8,12.5,4.9,5.7
1_2,0.11,40.44,52.22,4.90748,4.90748,14.314,14.314,3463.16,3596.71,3948.13,4101.5,4.9,6.3,12.8,12.5,4.9,6.3
1_2,0.21,40.44,55.09,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4028.38,4194.08,4.9,6.5,12.8,12.5,4.9,6.5
1_2,0.31,40.44,56.93,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4092.91,4268.25,4.9,6.6,12.8,12.5,4.9,6.6
1_2,0.41,40.44,58.39,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4149.66,4337.7,4.9,6.7,12.8,12.6,4.9,6.7
1_2,0.51,40.44,59.57,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4202.18,4400.7,4.9,6.8,12.8,12.6,4.9,6.8
1_2,0.61,40.44,60.59,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4251.42,4459.49,4.9,6.9,12.8,12.7,4.9,6.9
1_2,0.71,40.44,61.43,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4299.92,4514.5,4.9,7,12.8,12.7,4.9,7
1_2,0.81,40.44,62.11,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4346.56,4567.15,4.9,6.9,12.8,12.7,4.9,6.9
1_2,0.91,40.44,62.82,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4392.36,4618.26,4.9,7,12.8,12.8,4.9,7
1_3,0.01,44.49,49.38,0,0,0,0,3630.77,3361.27,3838.12,3662.97,5.8,6.6,11.3,11,5.8,6.6
1_3,0.11,44.49,56.74,0,0,0,0,3630.77,3361.27,4112.74,3903.9,5.8,7.5,11.3,11.1,5.8,7.5
1_3,0.21,44.49,59.57,0,0,0,0,3630.77,3361.27,4204.41,3994.18,5.8,7.7,11.3,11.3,5.8,7.7
1_3,0.31,44.49,61.52,0,0,0,0,3630.77,3361.27,4274.92,4068.44,5.8,7.8,11.3,11.3,5.8,7.8
1_3,0.41,44.49,63.13,0,0,0,0,3630.77,3361.27,4339.18,4134.38,5.8,7.9,11.3,11.4,5.8,7.9
1_3,0.51,44.49,64.35,0,0,0,0,3630.77,3361.27,4397.76,4195.35,5.8,8,11.3,11.5,5.8,8
1_3,0.61,44.49,65.36,0,0,0,0,3630.77,3361.27,4451.59,4252.12,5.8,8,11.3,11.6,5.8,8
1_3,0.71,44.49,66.3,0,0,0,0,3630.77,3361.27,4503.83,4305.88,5.8,8.1,11.3,11.6,5.8,8.1
1_3,0.81,44.49,67.07,0,0,0,0,3630.77,3361.27,4555.54,4356.67,5.8,8.1,11.3,11.6,5.8,8.1
1_3,0.91,44.49,67.82,0,0,0,0,3630.77,3361.27,4605.26,4406.1,5.8,8.2,11.3,11.7,5.8,8.2
1_4,0.01,42.26,47.03,0,0,0,0,3239.76,3451.54,3376.69,3639.05,4.5,5.2,12.9,12.7,4.5,5.2
1_4,0.11,42.26,53.45,0,0,0,0,3239.76,3451.54,3538,3863.43,4.5,5.9,12.9,12.6,4.5,5.9
1_4,0.21,42.26,56.09,0,0,0,0,3239.76,3451.54,3615.23,3944.67,4.5,6,12.9,12.7,4.5,6
1_4,0.31,42.26,57.77,0,0,0,0,3239.76,3451.54,3673.42,4010.04,4.5,6.1,12.9,12.8,4.5,6.1
1_4,0.41,42.26,58.95,0,0,0,0,3239.76,3451.54,3724.06,4067.26,4.5,6.2,12.9,12.8,4.5,6.2
1_4,0.51,42.26,59.9,0,0,0,0,3239.76,3451.54,3770.62,4120.46,4.5,6.2,12.9,12.8,4.5,6.2
1_4,0.61,42.26,60.91,0,0,0,0,3239.76,3451.54,3814.58,4170.44,4.5,6.4,12.9,12.9,4.5,6.4
1_4,0.71,42.26,61.66,0,0,0,0,3239.76,3451.54,3856.06,4218.67,4.5,6.4,12.9,13,4.5,6.4
1_4,0.81,42.26,62.33,0,0,0,0,3239.76,3451.54,3896.57,4265.33,4.5,6.4,12.9,13,4.5,6.4
1_4,0.91,42.26,62.78,0,0,0,0,3239.76,3451.54,3935.61,4310.72,4.5,6.4,12.9,13,4.5,6.4
1_5,0.01,48.79,53.97,0,0,0,0,4178.16,4646.45,4445.16,4952.62,5.2,5.9,13.2,13,5.2,5.9
1_5,0.11,48.79,61.83,0,0,0,0,4178.16,4646.45,4789.47,5279.26,5.2,6.6,13.2,13.2,5.2,6.6
