Mesh,Pressure,Area_start,Area_end,Width_start,Width_end,Length_start,Length_end,Volume_1_start,Volume_2_start,Volume_1_end,Volume_2_end,Pore_width_start,Pore_width_end,Pore_height_start,Pore_height_end,Min_diameter_start,Min_diameter_end
mesh_3_2_scaled_separated,0.01,27.75,49.73,0,0,0,0,5672.65,5536.21,5767.71,5633.12,2.9,4.7,13.7,16.3,2.9,4.7
mesh_3_2_scaled_separated,0.11,27.75,59.27,0,0,0,0,5672.65,5536.21,5873.3,5743.36,2.9,5.4,13.7,16.3,2.9,5.4
mesh_3_2_scaled_separated,0.21,27.75,61.3,0,0,0,0,5672.65,5536.21,5948.95,5814.29,2.9,5.6,13.7,16.2,2.9,5.6
mesh_3_2_scaled_separated,0.31,27.75,62.03,0,0,0,0,5672.65,5536.21,6018.52,5879.67,2.9,5.6,13.7,16.1,2.9,5.6
mesh_3_2_scaled_separated,0.41,27.75,62.42,0,0,0,0,5672.65,5536.21,6085.6,5942.84,2.9,5.7,13.7,16.2,2.9,5.7
mesh_3_2_scaled_separated,0.51,27.75,62.39,0,0,0,0,5672.65,5536.21,6151.23,6004.95,2.9,5.6,13.7,16.1,2.9,5.6
mesh_3_2_scaled_separated,0.61,27.75,62.29,0,0,0,0,5672.65,5536.21,6216.06,6066.56,2.9,5.6,13.7,16.1,2.9,5.6
mesh_3_2_scaled_separated,0.71,27.75,61.99,0,0,0,0,5672.65,5536.21,6280.57,6127.96,2.9,5.6,13.7,16,2.9,5.6
mesh_3_2_scaled_separated,0.81,27.75,61.7,0,0,0,0,5672.65,5536.21,6344.93,6189.4,2.9,5.6,13.7,16,2.9,5.6
mesh_3_2_scaled_separated,0.91,27.75,61.33,0,0,0,0,5672.65,5536.21,6409.32,6250.97,2.9,5.5,13.7,16,2.9,5.5
mesh_3_3_scaled_separated,0.01,14.29,25.41,0,0,0,0,5351.27,5667.3,5454.22,5777.91,2,3.2,14.8,14.2,2,3.2
mesh_3_3_scaled_separated,0.11,14.29,32.61,0,0,0,0,5351.27,5667.3,5578.22,5901.79,2,3.8,14.8,14.8,2,3.8
mesh_3_3_scaled_separated,0.21,14.29,34.54,0,0,0,0,5351.27,5667.3,5655.35,5982.82,2,3.9,14.8,15,2,3.9
mesh_3_3_scaled_separated,0.31,14.29,35.52,0,0,0,0,5351.27,5667.3,5724.89,6056.17,2,4,14.8,14.9,2,4
mesh_3_3_scaled_separated,0.41,14.29,36.07,0,0,0,0,5351.27,5667.3,5790.78,6126.37,2,4.1,14.8,14.6,2,4.1
mesh_3_3_scaled_separated,0.51,14.29,36.48,0,0,0,0,5351.27,5667.3,5854.53,6194.83,2,4.1,14.8,14.8,2,4.1
mesh_3_3_scaled_separated,0.61,14.29,36.59,0,0,0,0,5351.27,5667.3,5917.07,6262.39,2,4.1,14.8,14.8,2,4.1
mesh_3_3_scaled_separated,0.71,14.29,36.54,0,0,0,0,5351.27,5667.3,5978.86,6329.37,2,4.1,14.8,15.1,2,4.1
mesh_3_3_scaled_separated,0.81,14.29,36.44,0,0,0,0,5351.27,5667.3,6040.32,6396.06,2,4,14.8,14.9,2,4
mesh_3_3_scaled_separated,0.91,14.29,36.26,0,0,0,0,5351.27,5667.3,6101.64,6462.68,2,4,14.8,14.8,2,4
mesh_3_4_scaled_separated,0.01,29.11,40.37,0,0,0,0,5680.3,5775.52,5725.59,5857.37,3.1,4.1,13.1,14.1,3.1,4.1
mesh_3_4_scaled_separated,0.11,29.11,47.21,0,0,0,0,5680.3,5775.52,5827.92,5964.93,3.1,4.6,13.1,14.1,3.1,4.6
mesh_3_4_scaled_separated,0.21,29.11,48.77,0,0,0,0,5680.3,5775.52,5900.96,6039.23,3.1,4.7,13.1,14.2,3.1,4.7
mesh_3_4_scaled_separated,0.31,29.11,49.25,0,0,0,0,5680.3,5775.52,5968.41,6108.13,3.1,4.8,13.1,14.2,3.1,4.8
mesh_3_4_scaled_separated,0.41,29.11,49.57,0,0,0,0,5680.3,5775.52,6033.6,6174.88,3.1,4.8,13.1,14.1,3.1,4.8
mesh_3_4_scaled_separated,0.51,29.11,49.53,0,0,0,0,5680.3,5775.52,6097.6,6240.69,3.1,4.8,13.1,14,3.1,4.8
mesh_3_4_scaled_separated,0.61,29.11,49.35,0,0,0,0,5680.3,5775.52,6161.04,6306.14,3.1,4.8,13.1,14,3.1,4.8
mesh_3_4_scaled_separated,0.71,29.11,49.1,0,0,0,0,5680.3,5775.52,6224.29,6371.46,3.1,4.7,13.1,13.9,3.1,4.7
mesh_3_4_scaled_separated,0.81,29.11,48.83,0,0,0,0,5680.3,5775.52,6287.52,6436.8,3.1,4.7,13.1,13.7,3.1,4.7
mesh_3_4_scaled_separated,0.91,29.11,48.37,0,0,0,0,5680.3,5775.52,6350.84,6502.29,3.1,4.7,13.1,13.8,3.1,4.7
mesh_3_6_scaled_separated,0.01,45.72,70.38,0,0,0,0,6509.73,6429.64,6635.66,6552.76,4.2,5.9,12.8,14.4,4.2,5.9
mesh_3_6_scaled_separated,0.11,45.72,81.33,0,0,0,0,6509.73,6429.64,6764.61,6681.04,4.2,6.6,12.8,15.3,4.2,6.6
mesh_3_6_scaled_separated,0.21,45.72,83.68,0,0,0,0,6509.73,6429.64,6853.83,6767.87,4.2,6.7,12.8,15.3,4.2,6.7
mesh_3_6_scaled_separated,0.31,45.72,84.6,0,0,0,0,6509.73,6429.64,6935.86,6848.29,4.2,6.7,12.8,15.5,4.2,6.7
mesh_3_6_scaled_separated,0.41,45.72,84.62,0,0,0,0,6509.73,6429.64,7014.32,6926.14,4.2,6.6,12.8,15.5,4.2,6.6
mesh_3_6_scaled_separated,0.51,45.72,84.66,0,0,0,0,6509.73,6429.64,7091.6,7002.9,4.2,6.6,12.8,15.4,4.2,6.6
mesh_3_6_scaled_separated,0.61,45.72,84.32,0,0,0,0,6509.73,6429.64,7167.87,7078.94,4.2,6.6,12.8,15.4,4.2,6.6
mesh_3_6_scaled_separated,0.71,45.72,83.85,0,0,0,0,6509.73,6429.64,7243.93,7154.76,4.2,6.5,12.8,15.3,4.2,6.5
mesh_3_6_scaled_separated,0.81,45.72,83.54,0,0,0,0,6509.73,6429.64,7320.05,7230.53,4.2,6.5,12.8,15.2,4.2,6.5
mesh_3_6_scaled_separated,0.91,45.72,82.83,0,0,0,0,6509.73,6429.64,7396.2,7306.44,4.2,6.5,12.8,15.1,4.2,6.5
mesh_3_7_scaled_separated,0.01,27.06,35.42,0,0,0,0,5417.95,6184.71,5462.65,6280.89,3.2,4.1,12.2,12.8,3.2,4.1
mesh_3_7_scaled_separated,0.11,27.06,39.7,0,0,0,0,5417.95,6184.71,5550.74,6405.89,3.2,4.3,12.2,13.3,3.2,4.3
mesh_3_7_scaled_separated,0.21,27.06,40.21,0,0,0,0,5417.95,6184.71,5616.71,6492.04,3.2,4.3,12.2,13.2,3.2,4.3
mesh_3_7_scaled_separated,0.31,27.06,39.96,0,0,0,0,5417.95,6184.71,5678.77,6571.08,3.2,4.3,12.2,13.3,3.2,4.3
mesh_3_7_scaled_separated,0.41,27.06,39.58,0,0,0,0,5417.95,6184.71,5739.28,6647.2,3.2,4.2,12.2,13.1,3.2,4.2
mesh_3_7_scaled_separated,0.51,27.06,39.25,0,0,0,0,5417.95,6184.71,5799,6721.55,3.2,4.2,12.2,13.2,3.2,4.2
mesh_3_7_scaled_separated,0.61,27.06,38.78,0,0,0,0,5417.95,6184.71,5858.43,6795.02,3.2,4.1,12.2,13.1,3.2,4.1
mesh_3_7_scaled_separated,0.71,27.06,38.29,0,0,0,0,5417.95,6184.71,5917.72,6867.98,3.2,4.1,12.2,13,3.2,4.1
mesh_3_7_scaled_separated,0.81,27.06,37.74,0,0,0,0,5417.95,6184.71,5977.03,6940.78,3.2,4,12.2,12.9,3.2,4
mesh_3_7_scaled_separated,0.91,27.06,37.34,0,0,0,0,5417.95,6184.71,6036.39,7013.56,3.2,4,12.2,12.8,3.2,4
